Κατάλογος Εξαιρέσεων από Άδεια,,,,,,,,,,,,,
Όνομα Αδειούχου,Αριθμός Άδειας,Ημερομηνία Έναρξης,Ημερομηνία Λήξης,Ισχύς (KW),Αποθήκευση ενέργειας – Ισχύς εξόδου (kW),Αποθήκευση ενέργειας – Αποθηκευτική ισχύς (kWh),Τεχνολογία,Τύπος Τεχνολογίας,Καύσιμο,Τύπος Άδειας,Καθεστώς Λειτουργίας,Επαρχία,Δήμος/Κοινότητα
BP-S 114 LTD,Ε005050/2025,21/10/2025,20/10/2030,1000,1000,3000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ξυλοτύμβου
BP-S 155 LTD,Ε005049/2025,21/10/2025,20/10/2030,700,700,2100,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Αυγόρου
BP-S 155 LTD,Ε005048/2025,21/10/2025,20/10/2030,900,900,2700,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Αυγόρου
SOLIGHT ELECTRICITY COMPANY LTD,Ε005047/2025,21/10/2025,20/10/2030,2140,1000,4500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Κοκκινοτριμιθιά
PETROLINA ELECTRIC LTD,Ε005046/2025,21/10/2025,20/10/2030,1450,1450,5000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Καλό Χωριό Λάρνακας
PETROLINA ELECTRIC LTD,Ε005045/2025,21/10/2025,20/10/2030,1400,1400,5000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Φρέναρος
PETROLINA ELECTRIC LTD,Ε005044/2025,21/10/2025,20/10/2030,3260,3260,10000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Περιστερώνα
PETROLINA ELECTRIC LTD,Ε005043/2025,21/10/2025,20/10/2030,4500,4500,15000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Αναλιόντας
BP-S 157 LTD,Ε005042/2025,21/10/2025,20/10/2030,1400,1400,4200,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Πισσούρι
BP-S 157 LTD,Ε005041/2025,21/10/2025,20/10/2030,2100,2100,6300,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Πισσούρι
ABOVENERGY LTD,Ε005040/2025,21/10/2025,20/10/2030,990,990,2000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αθηένου
ABOVENERGY LTD,Ε005039/2025,21/10/2025,20/10/2030,2000,2000,4000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Τερσεφάνου
BP-S 140 LTD,Ε005038/2025,21/10/2025,20/10/2030,1500,1500,4500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ξυλοτύμβου
BP-S 114 LTD,Ε005037/2025,21/10/2025,20/10/2030,1500,1500,4500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ξυλοτύμβου
BP-S 133 LTD,Ε005036/2025,21/10/2025,20/10/2030,150,150,450,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Στρουμπί
RES ZEUS ELECTRICITY COMPANY LTD,Ε005035/2025,21/10/2025,20/10/2030,2700,1000,4500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Κοκκινοτριμιθιά
WATTZ PROJECT 2 LTD,Ε005034/2025,21/10/2025,20/10/2030,150,150,600,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Πολέμι 
PERLINA HOLDINGS LTD,Ε005033/2025,10/10/2025,09/10/2037,245,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Στρόβολο
PERLINA HOLDINGS LTD,Ε005032/2025,10/10/2025,09/10/2037,36,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,-
PERLINA HOLDINGS LTD,Ε005031/2025,10/10/2025,09/10/2037,264,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Στρόβολο
THEORIS N. KOUTSOU (KTIMATIKI) LTD,Ε005030/2025,10/10/2025,09/10/2037,150,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Αμμόχωστος,Παραλίμνι
ΣΥΝΕΡΓΑΤΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΠΑΡΑΓΩΓΗΣ ΖΩΟΤΡΟΦΩΝ ΛΤΔ,Ε005029/2025,10/10/2025,09/10/2037,80,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Αθηαίνου
BP-S 124 LTD,Ε005028/2025,10/10/2025,09/10/2030,1500,1500,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Π. Κουτραφά
BP-S 124 LTD,Ε005027/2025,10/10/2025,09/10/2030,1500,1500,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Π. Κουτραφά
BP-S 124 LTD,Ε005026/2025,10/10/2025,09/10/2030,1500,1500,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Π. Κουτραφά
SIDESUNNY.COM CYPRUS LTD,Ε005025/2025,10/10/2025,09/10/2030,1000,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Μαραθούντα
NEW WAY ENGINEERING LTD,Ε005024/2025,10/10/2025,09/10/2030,150,30,450,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Ακάμα - Πάνω Αρόδες
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε005023/2025,10/10/2025,09/10/2030,150,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Πάνω Αρόδες
WATTZ PROJECT 5 LTD,Ε005022/2025,10/10/2025,09/10/2030,500,500,2000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Αλάμπρα
WATTZ PROJECT 1 LTD,Ε005021/2025,10/10/2025,09/10/2030,1130,1130,4500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Στρουμπί
MANDRILL LTD,Ε005020/2025,10/10/2025,09/10/2030,8000,5000,10000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Πετροφάνι
WATTZ PROJECT 3 LTD,Ε005019/2025,10/10/2025,09/10/2030,500,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Γέρι
NEPHESH LTD,Ε005018/2025,10/10/2025,09/10/2030,0,1000,4000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Κονιά
A &AMP; A MACEDONIA INVESTMENTS LTD,Ε005017/2025,10/10/2025,09/10/2055,499.96,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Μελάδια 
P.K.X. MILLENIUM LTD,Ε005016/2025,06/10/2025,05/10/2037,80,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Μαθιάτη
Λ &AMP; Ε ΥΠΕΡΑΓΟΡΑ ΑΛΑΜΠΡΙΤΗ ΛΤΔ,Ε005015/2025,06/10/2025,05/10/2037,176,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Αραδίππου
ΚΕΡΑΜΕΙΟ ΑΝΔΡΕΑΣ ΚΑΣΑΠΗΣ ΛΤΔ,Ε005014/2025,06/10/2025,05/10/2037,160,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Καλαβασό
CYFIELD CH100 LTD,Ε005013/2025,06/10/2025,05/10/2037,70,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Στρόβολο
LIFEBOAT EDUCATIONAL SERVICES LTD,Ε005012/2025,06/10/2025,05/10/2037,220,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Αγία Φύλαξις
CYFIELD CH89 LTD,Ε005011/2025,06/10/2025,05/10/2037,352,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,-
ΟΡΓΑΝΩΣΗ ΠΑΡΑΓΩΓΩΝ ΣΕΔΙΓΕΠ ΛΥΣΗΣ ΛΤΔ,Ε005010/2025,06/10/2025,05/10/2037,400,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Δρομολαξιά
Α ΚΑΙ Α ΣΦΑΓΕΙΑ ΛΤΔ,Ε005009/2025,06/10/2025,05/10/2037,35.2,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Άγιος Ιωάννης
VESPA PROPERTIES LTD,Ε005008/2025,06/10/2025,05/10/2037,35.2,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Μέσα Γειτονιά
NELIADA INVESTMENTS LTD,Ε005007/2025,06/10/2025,05/10/2037,69,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,-
BP-S 100 LTD,Ε005006/2025,25/09/2025,24/09/2030,800,800,3200,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Άχνα
BP-S 100 LTD,Ε005005/2025,25/09/2025,24/09/2030,1500,1500,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Άχνα
SAOLA LTD,Ε005004/2025,25/09/2025,24/09/2030,5000,5000,15000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Άγιο Θεόδωρο
SAOLA LTD,Ε005003/2025,25/09/2025,24/09/2030,2000,2000,5000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αλαμινό
SAOLA LTD,Ε005002/2025,25/09/2025,24/09/2030,3000,3000,9000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αλαμινό
SAOLA LTD,Ε005001/2025,25/09/2025,24/09/2030,7000,7000,20000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αλαμινό
SAOLA LTD,Ε005000/2025,25/09/2025,24/09/2030,6500,6500,20000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αλαμινό
SAOLA LTD,Ε004999/2025,25/09/2025,24/09/2030,4000,4000,10000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αλαμινό
SAOLA LTD,Ε004998/2025,25/09/2025,24/09/2030,5500,5500,15000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αναφωτία
SAOLA LTD,Ε004997/2025,25/09/2025,24/09/2030,2500,2500,7500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αλαμινό
SAOLA LTD,Ε004996/2025,25/09/2025,24/09/2030,5500,5500,15000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Άγιο Θεόδωρο
SAOLA LTD,Ε004995/2025,25/09/2025,24/09/2030,1200,1200,4000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Άγιο Θεόδωρο
SAOLA LTD,Ε004994/2025,25/09/2025,24/09/2030,600,600,2000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Άγιο Θεόδωρο
SAOLA LTD,Ε004993/2025,25/09/2025,24/09/2030,4000,4000,10000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Άγιο Θεόδωρο
SAOLA LTD,Ε004992/2025,25/09/2025,24/09/2030,4000,4000,10000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Άγιο Θεόδωρο
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε004991/2025,25/09/2025,24/09/2037,160,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Μοναγρούλι 
AVERDE OPERATIONS LTD,Ε004990/2025,25/09/2025,24/09/2037,104,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Πύλα
EUROPEAN UNIVERSITY- CYPRUS LTD,Ε004989/2025,25/09/2025,24/09/2037,405,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Έγκωμη
ΚΤΗΜΑ Π. ΚΟΥΣΙΟΥΜΗ ΛΤΔ,Ε004988/2025,25/09/2025,24/09/2037,88,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Πέρα Χωριό
ΚΤΗΜΑ Π. ΚΟΥΣΙΟΥΜΗ ΛΤΔ,Ε004987/2025,25/09/2025,24/09/2037,44,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Πέρα Χωριό
YIALLOUROU EUROFOODS LTD,Ε004986/2025,25/09/2025,24/09/2037,440,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Αραδίππου
WARGAMING GROUP LTD,Ε004985/2025,25/09/2025,24/09/2037,88,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,-
WARGAMING GROUP LTD,Ε004984/2025,25/09/2025,24/09/2037,50,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,-
ERGOMAKERS LTD,Ε004983/2025,25/09/2025,24/09/2037,885,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,-
ΦΑΡΜΑ Χ. ΧΡΙΣΤΟΔΟΥΛΟΥ ΛΤΔ,Ε004982/2025,25/09/2025,24/09/2037,132,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Μοναγρούλι 
ΣΤΕΓΗ ΕΥΓΗΡΙΑΣ ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ,Ε004981/2025,25/09/2025,24/09/2037,80,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Λακατάμεια
ΤΜΗΜΑ ΔΗΜΟΣΙΩΝ ΕΡΓΩΝ,Ε004980/2025,25/09/2025,24/09/2037,352,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Αγλαντζιά
ΚΟΚΙΤΑ (ΕΡΓΟΣΤΑΣΙΟ ΖΩΟΤΡΟΦΩΝ) ΛΤΔ,Ε004979/2025,25/09/2025,24/09/2037,120,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Αραδίππου
GRAVIERON COMPANY LTD,Ε004978/2025,25/09/2025,24/09/2037,515,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Αμμόχωστος,Αγία Νάπα
E.M.A. FOODS TRADING LTD,Ε004977/2025,25/09/2025,24/09/2037,96,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Αραδίππου
EASY POWER (CYPRUS) LTD,Ε004976/2025,17/09/2025,16/09/2030,0,4696,11328,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Άγιος Σοζώμενος
EASY POWER (CYPRUS) LTD,Ε004975/2025,17/09/2025,16/09/2030,0,5580,11328,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Άγιο Σοζώμενος
CKG SUN ENERGY LTD,Ε004974/2025,17/09/2025,16/09/2030,0,1000,2060,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Σκαρίνου
BIOLAND PROJECT 57 LTD,Ε004973/2025,17/09/2025,16/09/2030,1500,1500,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αθηένου
Y.A. WINDENERGY LTD,Ε004972/2025,17/09/2025,16/09/2030,0,600,2400,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Δάλι
BIOLAND PROJECT 64 LTD,Ε004971/2025,17/09/2025,16/09/2030,0,450,1800,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Απλάντα
BIOLAND PROJECT 64 LTD,Ε004970/2025,17/09/2025,16/09/2030,0,1200,4800,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αναφωτία
BIOLAND PROJECT 36 LTD,Ε004969/2025,17/09/2025,16/09/2030,0,2000,8000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Κοφίνου
BIOLAND PROJECT 17 LTD,Ε004968/2025,17/09/2025,16/09/2030,0,400,1600,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Πάνω Κουτραφά
BIOLAND PROJECT 17 LTD,Ε004967/2025,17/09/2025,16/09/2030,0,990,3996,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Κάτω Κουτραφά
BIOLAND PROJECT 17 LTD,Ε004966/2025,17/09/2025,16/09/2030,0,1000,4000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Πάνω Κουτραφάς
BIOLAND PROJECT 16 LTD,Ε004965/2025,17/09/2025,16/09/2030,0,700,2800,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Μαρώνι
BIOLAND PROJECT 21 LTD,Ε004964/2025,17/09/2025,16/09/2030,0,700,2800,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Κοφίνου
BIOLAND PROJECT 38 LTD,Ε004963/2025,17/09/2025,16/09/2030,0,700,2800,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Άχνα
DLM FAMILIAR SOLAR LTD,Ε004962/2025,17/09/2025,16/09/2030,0,150,600,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Μαλούντα
BP-S 106 LTD,Ε004961/2025,17/09/2025,16/09/2030,0,700,2800,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αλεθρικό
 AK SOLAR LTD,Ε004960/2025,17/09/2025,16/09/2030,0,150,600,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Αγία Μαρίνα Ξυλιάτου
BIOLAND PROJECT 60 LTD,Ε004959/2025,17/09/2025,16/09/2030,0,999,3996,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αραδίππου
DLKC SOLAR LTD,Ε004958/2025,17/09/2025,16/09/2030,0,150,600,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Αγία Μαρίνα Ξυλιάτου
LPV STARLIGHT SYSTEMS LTD,Ε004957/2025,17/09/2025,16/09/2030,0,1500,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Λιοπέτρι
BIOLAND PROJECT 2 LTD,Ε004956/2025,17/09/2025,16/09/2030,0,2237,8920,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Κοφίνου
